"LastWriteTime","Length","Name","FullName"
"2/9/2026 12:20:46 AM","121738","SNES - Last Bible III (JPN) - Maps - Baruch Vill. _ Dolluch Vill. _ Tarque Vill. _ Ymir Vill. & Roy's Village (Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Last Bible III (JPN) - Maps - Baruch Vill. _ Dolluch Vill. _ Tarque Vill. _ Ymir Vill. & Roy's Village (Interior).png"
"2/9/2026 12:20:40 AM","19293","SNES - Last Bible III (JPN) - Maps - Baghi's House _ Huey's House & Maia's House (Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Last Bible III (JPN) - Maps - Baghi's House _ Huey's House & Maia's House (Interior).png"
"2/9/2026 12:20:36 AM","75427","SNES - Last Bible III (JPN) - Maps - Baghi's House _ Huey's House & Maia's House (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Last Bible III (JPN) - Maps - Baghi's House _ Huey's House & Maia's House (Exterior).png"
"2/9/2026 12:20:30 AM","61181","SNES - Last Bible III (JPN) - Maps - Zama Hill.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Last Bible III (JPN) - Maps - Zama Hill.png"
"2/9/2026 12:20:26 AM","236892","SNES - Last Bible III (JPN) - Maps - Baruch Village (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Last Bible III (JPN) - Maps - Baruch Village (Exterior).png"
"2/9/2026 12:19:56 AM","9945","SNES - Last Bible III (JPN) - Miscellaneous - Fog (Baruch Village).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Last Bible III (JPN) - Miscellaneous - Fog (Baruch Village).png"
"2/9/2026 12:19:34 AM","105369","SNES - Star Ocean (JPN) - Van Kingdom - Maps - Van Castle Town (Entrance) (1).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Van Kingdom - Maps - Van Castle Town (Entrance) (1).png"
"2/9/2026 12:19:29 AM","109407","SNES - Star Ocean (JPN) - Van Kingdom - Maps - Ionis (Entrance).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Van Kingdom - Maps - Ionis (Entrance).png"
"2/9/2026 12:19:24 AM","179857","SNES - Star Ocean (JPN) - Van Kingdom - Maps - Ecdart (Entrance).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Van Kingdom - Maps - Ecdart (Entrance).png"
"2/9/2026 12:19:19 AM","563530","SNES - Star Ocean (JPN) - Van Kingdom - Maps - Van Castle Town (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Van Kingdom - Maps - Van Castle Town (Exterior).png"
"2/9/2026 12:19:12 AM","105369","SNES - Star Ocean (JPN) - Van Kingdom - Maps - Van Castle Town (Entrance).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Van Kingdom - Maps - Van Castle Town (Entrance).png"
"2/9/2026 12:19:03 AM","5975","SNES - Dragon Quest 3 (JPN) - Playable Characters - King & Princess.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Dragon Quest 3 (JPN) - Playable Characters - King & Princess.png"
"2/9/2026 12:18:58 AM","317520","SNES - Star Ocean (JPN) - Sylvalant Kingdom - Maps - Sylvalant Castle (Courtyard).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Sylvalant Kingdom - Maps - Sylvalant Castle (Courtyard).png"
