file,id,group,status,priority,replacement_notes
amb_fire.ogg,amb_fire,root/sfx/ambient_loops,placeholder_silence,medium,Replace in-place; keep filename stable.
amb_machinery.ogg,amb_machinery,root/sfx/ambient_loops,placeholder_silence,medium,Replace in-place; keep filename stable.
amb_rain.ogg,amb_rain,root/sfx/ambient_loops,placeholder_silence,medium,Replace in-place; keep filename stable.
amb_water.ogg,amb_water,root/sfx/ambient_loops,placeholder_silence,medium,Replace in-place; keep filename stable.
amb_wind.ogg,amb_wind,root/sfx/ambient_loops,placeholder_silence,medium,Replace in-place; keep filename stable.
bgm_battle_boss.ogg,bgm_battle_boss,root/bgm/battle_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_battle_normal.ogg,bgm_battle_normal,root/bgm/battle_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_boss_alexander.ogg,bgm_boss_alexander,root/bgm/battle_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_boss_mercer.ogg,bgm_boss_mercer,root/bgm/battle_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_boss_progenitor.ogg,bgm_boss_progenitor_engine_final,root/bgm/battle_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_boss_the_bloom.ogg,bgm_boss_the_bloom,root/bgm/battle_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_abyss.ogg,bgm_dungeon_abyss,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_crystal.ogg,bgm_dungeon_crystal,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_frozen.ogg,bgm_dungeon_frozen,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_fungal.ogg,bgm_dungeon_fungal,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_obsidian.ogg,bgm_dungeon_obsidian,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_ruins.ogg,bgm_dungeon_ruins,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_skyspire.ogg,bgm_dungeon_skyspire,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_dungeon_void.ogg,bgm_dungeon_void,root/bgm/dungeon_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_ending.ogg,bgm_ending,root/bgm/special_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_field_capital.ogg,bgm_field_capital,root/bgm/field_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_field_dustbelt.ogg,bgm_field_dustbelt,root/bgm/field_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_field_frost.ogg,bgm_field_frost,root/bgm/field_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_field_marsh.ogg,bgm_field_marsh,root/bgm/field_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_field_uplands.ogg,bgm_field_uplands,root/bgm/field_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_game_over.ogg,bgm_game_over,root/bgm/special_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_overworld.ogg,bgm_overworld,root/bgm/field_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_title.ogg,bgm_title,root/bgm/special_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_aetherreach.ogg,bgm_town_aetherreach,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_ashveil.ogg,bgm_town_ashveil,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_brinegate.ogg,bgm_town_brinegate,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_chronowake.ogg,bgm_town_chronowake,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_cinderstep.ogg,bgm_town_cinderstep,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_dusthaven.ogg,bgm_town_dusthaven,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_lumencrest.ogg,bgm_town_lumencrest_outer,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_meridian.ogg,bgm_town_meridian,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_mirewatch.ogg,bgm_town_mirewatch,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_prismridge.ogg,bgm_town_prismridge,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_town_rimehold.ogg,bgm_town_rimehold,root/bgm/town_themes,placeholder_silence,high,Replace in-place; keep filename stable.
bgm_victory.ogg,bgm_victory,root/bgm/special_themes,placeholder_silence,high,Replace in-place; keep filename stable.
sfx_atk_gun.wav,sfx_atk_gun,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_atk_magic.wav,sfx_atk_magic,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
