boss_id,boss_name,boss_type,set_file,folder,sprite_id,source_sprite,source_size,output_sprite
BOSS_ELDER_MORDAI,Elder Mordai,dungeon,boss_dungeon_set.json,dungeon,spr_boss_elder_mordai,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj032.png,112x112,assets/sprites/bosses/dungeon/spr_boss_elder_mordai.png
BOSS_THE_BLOOM,The Bloom,dungeon,boss_dungeon_set.json,dungeon,spr_boss_the_bloom,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj227.png,64x48,assets/sprites/bosses/dungeon/spr_boss_the_bloom.png
BOSS_THE_COLOSSUS,The Colossus,dungeon,boss_dungeon_set.json,dungeon,spr_boss_the_colossus,assets/sprites/bosses/_slices/spr_boss_import_demking_battler_2/spr_boss_import_demking_battler_2_obj001.png,400x384,assets/sprites/bosses/dungeon/spr_boss_the_colossus.png
BOSS_THE_DEPTHCALLER,The Depthcaller,dungeon,boss_dungeon_set.json,dungeon,spr_boss_the_depthcaller,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj226.png,64x48,assets/sprites/bosses/dungeon/spr_boss_the_depthcaller.png
BOSS_THE_INFERNO,The Inferno,dungeon,boss_dungeon_set.json,dungeon,spr_boss_the_inferno,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj243.png,48x96,assets/sprites/bosses/dungeon/spr_boss_the_inferno.png
BOSS_THE_PRISM,The Prism,dungeon,boss_dungeon_set.json,dungeon,spr_boss_the_prism,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj001.png,112x128,assets/sprites/bosses/dungeon/spr_boss_the_prism.png
BOSS_THE_SPOROCYTE,The Sporocyte,dungeon,boss_dungeon_set.json,dungeon,spr_boss_the_sporocyte,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj198.png,96x112,assets/sprites/bosses/dungeon/spr_boss_the_sporocyte.png
BOSS_THE_VOIDHOUND,The Voidhound,dungeon,boss_dungeon_set.json,dungeon,spr_boss_the_voidhound,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj241.png,96x64,assets/sprites/bosses/dungeon/spr_boss_the_voidhound.png
BOSS_ANCIENT_DRAKE,Ancient Drake,palace,boss_palace_set.json,palace,spr_boss_ancient_drake,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj018.png,128x112,assets/sprites/bosses/palace/spr_boss_ancient_drake.png
BOSS_CHRONOWARDEN,Chronowarden,palace,boss_palace_set.json,palace,spr_boss_chronowarden,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj017.png,64x64,assets/sprites/bosses/palace/spr_boss_chronowarden.png
