enemy_id,name,family,sprite_id,preferred_class,assigned_class,source_sprite,source_size,output_sprite,source_file,changed_in_visual_pass
ENEMY_NULL_CASTER,Null Caster,capital,spr_enemy_null_caster,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj014.png,64x80,assets/sprites/enemies/capital/spr_enemy_null_caster.png,assets/data/enemies/enemy_capital_set.json,yes
ENEMY_RECORD_SENTRY,Record Sentry,capital,spr_enemy_record_sentry,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj003.png,48x64,assets/sprites/enemies/capital/spr_enemy_record_sentry.png,assets/data/enemies/enemy_capital_set.json,yes
ENEMY_VOID_ELITE,Void Elite,capital,spr_enemy_void_elite,large,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj217.png,64x80,assets/sprites/enemies/capital/spr_enemy_void_elite.png,assets/data/enemies/enemy_capital_set.json,yes
ENEMY_CHRONO_SCRIBE,Chrono Scribe,chrono,spr_enemy_chrono_scribe,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj231.png,80x80,assets/sprites/enemies/chrono/spr_enemy_chrono_scribe.png,assets/data/enemies/enemy_chrono_set.json,yes
ENEMY_DRONE,Drone,chrono,spr_enemy_drone,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj006.png,32x64,assets/sprites/enemies/chrono/spr_enemy_drone.png,assets/data/enemies/enemy_chrono_set.json,yes
ENEMY_PHASE_SCUTTLER,Phase Scuttler,chrono,spr_enemy_phase_scuttler,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj001.png,48x64,assets/sprites/enemies/chrono/spr_enemy_phase_scuttler.png,assets/data/enemies/enemy_chrono_set.json,yes
ENEMY_BLOOM_SPROUT,Bloom Sprout,dungeon,spr_enemy_bloom_sprout,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj006.png,64x48,assets/sprites/enemies/dungeon/spr_enemy_bloom_sprout.png,assets/data/enemies/enemy_dungeon_set.json,yes
ENEMY_FUNGAL_HORROR,Fungal Horror,dungeon,spr_enemy_fungal_horror,large,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj227.png,64x48,assets/sprites/enemies/dungeon/spr_enemy_fungal_horror.png,assets/data/enemies/enemy_dungeon_set.json,yes
ENEMY_GROWTH_LURKER,Growth Lurker,dungeon,spr_enemy_growth_lurker,large,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj022.png,80x64,assets/sprites/enemies/dungeon/spr_enemy_growth_lurker.png,assets/data/enemies/enemy_dungeon_set.json,yes
ENEMY_VINE_SNAKE,Vine Snake,dungeon,spr_enemy_vine_snake,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj232.png,48x48,assets/sprites/enemies/dungeon/spr_enemy_vine_snake.png,assets/data/enemies/enemy_dungeon_set.json,yes
