severity,category,file,id,message
high,drop_item_ref,assets/data/drops/drop_bosses.json,DROPS_BOSS_THE_BLOOM,Unknown first_clear_bonus item: ITEM_GROWTH_RING
high,map_boss_ref,assets/data/maps/map_capital_chain.json,D_ARCHIVE_112x96,Unknown boss ID: BOSS_ARCHIVE_GUARDIAN
high,map_encounter_ref,assets/data/maps/map_capital_chain.json,D_ARCHIVE_112x96,Unknown encounter_table: ARCHIVE_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_capital_chain.json,D_PALACE_128x96,Unknown encounter_table: PALACE_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_capital_chain.json,MIC_CONDUIT_64x32,Unknown encounter_table: CONDUIT_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_capital_chain.json,MIC_CROWN_TO_PALACE_56x32,Unknown encounter_table: PALACE_APPROACH_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_dungeons_main.json,D3_CRYSTAL_96x96,Unknown encounter_table: D3_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_dungeons_main.json,D4_SKYSPIRE_96x96,Unknown encounter_table: D4_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_dungeons_main.json,D5_ABYSS_96x96,Unknown encounter_table: D5_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_dungeons_main.json,D6_OBSIDIAN_96x96,Unknown encounter_table: D6_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_dungeons_main.json,D7_FROZEN_96x96,Unknown encounter_table: D7_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_dungeons_main.json,D8_VOID_112x96,Unknown encounter_table: D8_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_hidden_shrines.json,HID_DRAGON_96x64,Unknown encounter_table: DRAGON_GRAVEYARD_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_hidden_shrines.json,HID_SUNKEN_96x64,Unknown encounter_table: SUNKEN_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_routes_act1.json,MIC_R01A_48x32,Unknown encounter_table: R01A_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_routes_act1.json,MIC_R01B_96x40,Unknown encounter_table: R01B_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_routes_act1.json,MIC_R02_80x48,Unknown encounter_table: R02_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_routes_act1.json,MIC_R03_104x56,Unknown encounter_table: R03_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_routes_act1.json,MIC_R04_56x36,Unknown encounter_table: R04_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_routes_act1.json,MIC_R05_112x56,Unknown encounter_table: R05_ENCOUNTERS
high,map_encounter_ref,assets/data/maps/map_tower_palace_remnant.json,TWR_ARENA_F10_48x48,Unknown encounter_table: TOWER_F10_ENCOUNTERS
