severity,category,file,id,message
medium,audio_ref_missing,assets/data,bgm_boss_ancient_drake,Missing audio file for token: bgm_boss_ancient_drake
medium,audio_ref_missing,assets/data,bgm_boss_archive_guardian,Missing audio file for token: bgm_boss_archive_guardian
medium,audio_ref_missing,assets/data,bgm_boss_captain,Missing audio file for token: bgm_boss_captain
medium,audio_ref_missing,assets/data,bgm_boss_chronowarden,Missing audio file for token: bgm_boss_chronowarden
medium,audio_ref_missing,assets/data,bgm_boss_dax_kaine,Missing audio file for token: bgm_boss_dax_kaine
medium,audio_ref_missing,assets/data,bgm_boss_elder_mordai,Missing audio file for token: bgm_boss_elder_mordai
medium,audio_ref_missing,assets/data,bgm_boss_elemental_lords,Missing audio file for token: bgm_boss_elemental_lords
medium,audio_ref_missing,assets/data,bgm_boss_progenitor_engine_final,Missing audio file for token: bgm_boss_progenitor_engine_final
medium,audio_ref_missing,assets/data,bgm_boss_remnant_custodian,Missing audio file for token: bgm_boss_remnant_custodian
medium,audio_ref_missing,assets/data,bgm_boss_sentinel,Missing audio file for token: bgm_boss_sentinel
medium,audio_ref_missing,assets/data,bgm_boss_the_colossus,Missing audio file for token: bgm_boss_the_colossus
medium,audio_ref_missing,assets/data,bgm_boss_the_depthcaller,Missing audio file for token: bgm_boss_the_depthcaller
medium,audio_ref_missing,assets/data,bgm_boss_the_inferno,Missing audio file for token: bgm_boss_the_inferno
medium,audio_ref_missing,assets/data,bgm_boss_the_prism,Missing audio file for token: bgm_boss_the_prism
medium,audio_ref_missing,assets/data,bgm_boss_the_sporocyte,Missing audio file for token: bgm_boss_the_sporocyte
medium,audio_ref_missing,assets/data,bgm_boss_the_voidhound,Missing audio file for token: bgm_boss_the_voidhound
medium,audio_ref_missing,assets/data,bgm_boss_void_architect,Missing audio file for token: bgm_boss_void_architect
medium,audio_ref_missing,assets/data,bgm_boss_void_empress,Missing audio file for token: bgm_boss_void_empress
medium,audio_ref_missing,assets/data,bgm_boss_yakov_thorne,Missing audio file for token: bgm_boss_yakov_thorne
medium,audio_ref_missing,assets/data,bgm_change,Missing audio file for token: bgm_change
medium,audio_ref_missing,assets/data,bgm_dungeon_archive,Missing audio file for token: bgm_dungeon_archive
medium,audio_ref_missing,assets/data,bgm_dungeon_conduit,Missing audio file for token: bgm_dungeon_conduit
medium,audio_ref_missing,assets/data,bgm_dungeon_dragon_graveyard,Missing audio file for token: bgm_dungeon_dragon_graveyard
medium,audio_ref_missing,assets/data,bgm_dungeon_eclipse,Missing audio file for token: bgm_dungeon_eclipse
medium,audio_ref_missing,assets/data,bgm_dungeon_palace,Missing audio file for token: bgm_dungeon_palace
medium,audio_ref_missing,assets/data,bgm_dungeon_sunken,Missing audio file for token: bgm_dungeon_sunken
medium,audio_ref_missing,assets/data,bgm_field_fungal,Missing audio file for token: bgm_field_fungal
medium,audio_ref_missing,assets/data,bgm_field_highlands,Missing audio file for token: bgm_field_highlands
medium,audio_ref_missing,assets/data,bgm_remnant_combat,Missing audio file for token: bgm_remnant_combat
medium,audio_ref_missing,assets/data,bgm_remnant_exploration,Missing audio file for token: bgm_remnant_exploration
medium,audio_ref_missing,assets/data,bgm_remnant_puzzle,Missing audio file for token: bgm_remnant_puzzle
medium,audio_ref_missing,assets/data,bgm_remnant_vault,Missing audio file for token: bgm_remnant_vault
medium,audio_ref_missing,assets/data,bgm_shrine_growth,Missing audio file for token: bgm_shrine_growth
medium,audio_ref_missing,assets/data,bgm_shrine_heat,Missing audio file for token: bgm_shrine_heat
medium,audio_ref_missing,assets/data,bgm_shrine_light,Missing audio file for token: bgm_shrine_light
medium,audio_ref_missing,assets/data,bgm_shrine_mass,Missing audio file for token: bgm_shrine_mass
medium,audio_ref_missing,assets/data,bgm_shrine_motion,Missing audio file for token: bgm_shrine_motion
medium,audio_ref_missing,assets/data,bgm_shrine_shadow,Missing audio file for token: bgm_shrine_shadow
medium,audio_ref_missing,assets/data,bgm_shrine_tide,Missing audio file for token: bgm_shrine_tide
medium,audio_ref_missing,assets/data,bgm_shrine_time,Missing audio file for token: bgm_shrine_time
medium,audio_ref_missing,assets/data,bgm_tower_lobby,Missing audio file for token: bgm_tower_lobby
medium,audio_ref_missing,assets/data,bgm_tower_reward,Missing audio file for token: bgm_tower_reward
medium,audio_ref_missing,assets/data,bgm_town_crown_hub,Missing audio file for token: bgm_town_crown_hub
medium,audio_ref_missing,assets/data,bgm_town_gravemark,Missing audio file for token: bgm_town_gravemark
medium,audio_ref_missing,assets/data,bgm_town_lumencrest_outer,Missing audio file for token: bgm_town_lumencrest_outer
medium,audio_ref_missing,assets/data,bgm_world_break,Missing audio file for token: bgm_world_break
medium,audio_ref_missing,assets/data,sfx_victory_fanfare,Missing audio file for token: sfx_victory_fanfare
medium,audio_ref_missing,assets/data,vo_amara_greet,Missing audio file for token: vo_amara_greet
medium,audio_ref_missing,assets/data,vo_amara_heal,Missing audio file for token: vo_amara_heal
medium,audio_ref_missing,assets/data,vo_dominion_official_greet,Missing audio file for token: vo_dominion_official_greet
medium,audio_ref_missing,assets/data,vo_grimjaw_approve,Missing audio file for token: vo_grimjaw_approve
medium,audio_ref_missing,assets/data,vo_grimjaw_craft,Missing audio file for token: vo_grimjaw_craft
medium,audio_ref_missing,assets/data,vo_grimjaw_greet,Missing audio file for token: vo_grimjaw_greet
medium,audio_ref_missing,assets/data,vo_innkeeper_male_greet,Missing audio file for token: vo_innkeeper_male_greet
medium,audio_ref_missing,assets/data,vo_kell_farewell,Missing audio file for token: vo_kell_farewell
medium,audio_ref_missing,assets/data,vo_kell_greet,Missing audio file for token: vo_kell_greet
medium,audio_ref_missing,assets/data,vo_kellen_craft,Missing audio file for token: vo_kellen_craft
medium,audio_ref_missing,assets/data,vo_kellen_farewell,Missing audio file for token: vo_kellen_farewell
medium,audio_ref_missing,assets/data,vo_kellen_greet,Missing audio file for token: vo_kellen_greet
medium,audio_ref_missing,assets/data,vo_merchant_a_greet,Missing audio file for token: vo_merchant_a_greet
medium,audio_ref_missing,assets/data,vo_merchant_premium_greet,Missing audio file for token: vo_merchant_premium_greet
medium,audio_ref_missing,assets/data,vo_mira_farewell,Missing audio file for token: vo_mira_farewell
medium,audio_ref_missing,assets/data,vo_mira_greet,Missing audio file for token: vo_mira_greet
medium,audio_ref_missing,assets/data,vo_mira_thanks,Missing audio file for token: vo_mira_thanks
medium,audio_ref_missing,assets/data,vo_rail_captain_dorsa_greet,Missing audio file for token: vo_rail_captain_dorsa_greet
medium,audio_ref_missing,assets/data,vo_sarai_farewell,Missing audio file for token: vo_sarai_farewell
medium,audio_ref_missing,assets/data,vo_sarai_greet,Missing audio file for token: vo_sarai_greet
medium,audio_ref_missing,assets/data,vo_seam_warden_greet,Missing audio file for token: vo_seam_warden_greet
medium,audio_ref_missing,assets/data,vo_terminal_operator_greet,Missing audio file for token: vo_terminal_operator_greet
medium,audio_ref_missing,assets/data,vo_vane_farewell,Missing audio file for token: vo_vane_farewell
medium,audio_ref_missing,assets/data,vo_vane_greet,Missing audio file for token: vo_vane_greet
medium,audio_ref_missing,assets/data,vo_varin_greet,Missing audio file for token: vo_varin_greet
medium,audio_ref_missing,assets/data,vo_varin_warn,Missing audio file for token: vo_varin_warn
medium,audio_ref_missing,assets/data,vo_varros_farewell,Missing audio file for token: vo_varros_farewell
medium,audio_ref_missing,assets/data,vo_varros_greet,Missing audio file for token: vo_varros_greet
medium,audio_ref_missing,assets/data,vo_velm_greet,Missing audio file for token: vo_velm_greet
medium,audio_ref_missing,assets/data,vo_velm_lore,Missing audio file for token: vo_velm_lore
medium,placeholder_token,assets/data/dialogs/dialog_generated_placeholders.json,,Contains placeholder/TODO/TBD markers
