sprite_id,production_file,source_slice,src_w,src_h,status
NPC_SMITH,assets/sprites/npcs/spr_npc_npc_smith.png,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs_obj059.png,32,48,replaced
NPC_MASTER_SMITH,assets/sprites/npcs/spr_npc_npc_master_smith.png,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs_obj061.png,32,48,replaced
NPC_INNKEEPER_F,assets/sprites/npcs/spr_npc_npc_innkeeper_f.png,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs_obj079.png,32,48,replaced
NPC_GUARD_CAPTAIN,assets/sprites/npcs/spr_npc_npc_guard_captain.png,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs_obj088.png,32,48,replaced
NPC_BROKER_M,assets/sprites/npcs/spr_npc_npc_broker_m.png,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs_obj093.png,32,48,replaced
NPC_SAILOR_F,assets/sprites/npcs/spr_npc_npc_sailor_f.png,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs_obj102.png,32,32,replaced
NPC_SCHOLAR,assets/sprites/npcs/spr_npc_npc_scholar.png,assets/sprites/npcs/_slices/spr_npc_import_oldnpcs_3/spr_npc_import_oldnpcs_3_r06_c05.png,32,48,replaced_visual_fix
NPC_SCHOLAR_ELDER,assets/sprites/npcs/spr_npc_npc_scholar_elder.png,assets/sprites/npcs/_slices/spr_npc_import_oldnpcs_3/spr_npc_import_oldnpcs_3_r02_c11.png,32,48,replaced_visual_fix
NPC_PRIESTESS,assets/sprites/npcs/spr_npc_npc_priestess.png,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs_obj123.png,32,32,replaced
NPC_RESISTANCE,assets/sprites/npcs/spr_npc_npc_resistance.png,assets/sprites/npcs/_slices/spr_npc_import_oldnpcs_3/spr_npc_import_oldnpcs_3_r05_c10.png,32,48,replaced_visual_fix
