source,category,width,height,off_grid,strategy,slices_written,padded_slices,manual_review,notes,output_dir
assets/sprites/bosses/_imports/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters.png,bosses,945,128,yes,components_alpha,9,8,no,component_count=9,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters
assets/sprites/bosses/_imports/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters.png,bosses,971,2752,yes,components_alpha,248,219,no,component_count=248,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters
assets/sprites/bosses/_imports/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters.png,bosses,971,640,yes,components_alpha,34,34,no,component_count=34,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters
assets/sprites/bosses/_imports/spr_boss_import_ab_theatre_scenes_1006106_img_manomori_boss.png,bosses,512,512,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_1.png,bosses,288,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_2.png,bosses,576,512,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_3.png,bosses,864,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_a.png,bosses,144,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_a_2x.png,bosses,288,512,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_a_3x.png,bosses,432,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_a_3x_2.png,bosses,432,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_b.png,bosses,144,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_b_2x.png,bosses,288,512,no,skipped_on_grid,0,0,no,already aligned to pad grid,
