target_tileset,current_primary,candidate_source,candidate_copy,reason,recommended_action
Tileset_OrionOverworld,assets/sprites/tilesets/tileset_orionoverworld_source_primary.png,assets/AssetsForMyGame/giantworm_terrain_1_3x.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_orionoverworld.png,Broad terrain variety and readable world-scale biome transitions.,review_and_promote_if_art_direction_matches
Tileset_Dustbelt,assets/sprites/tilesets/tileset_dustbelt_source_primary.png,assets/AssetsForMyGame/westerntowntiles_3.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_dustbelt.png,Strong desert frontier architecture and dust-town readable silhouettes.,review_and_promote_if_art_direction_matches
Tileset_AshveilStone,assets/sprites/tilesets/tileset_ashveilstone_source_primary.png,assets/AssetsForMyGame/old_cricktown_houses_sheet.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_ashveilstone.png,Stone/wood settlement kit that fits upland sanctuary tone.,review_and_promote_if_art_direction_matches
Tileset_MireStilts,assets/sprites/tilesets/tileset_mirestilts_source_primary.png,assets/AssetsForMyGame/underwater_tiles_3.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_mirestilts.png,Water-edge and boardwalk-adjacent motifs useful for mire routing.,review_and_promote_if_art_direction_matches
Tileset_PrismHighland,assets/sprites/tilesets/tileset_prismhighland_source_primary.png,assets/AssetsForMyGame/SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Astral Castle Town (Exterior).png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_prismhighland.png,Clean highland masonry and bright palette suitable for prism settlements.,review_and_promote_if_art_direction_matches
Tileset_EmberBasalt,assets/sprites/tilesets/tileset_emberbasalt_source_primary.png,assets/AssetsForMyGame/Dungeon_A1 LAVA Cavern.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_emberbasalt.png,Volcanic palette and lava forms fit Ember/Cinderstep lanes.,review_and_promote_if_art_direction_matches
Tileset_TideCoast,assets/sprites/tilesets/tileset_tidecoast_source_primary.png,assets/AssetsForMyGame/underwater_tiles_3.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_tidecoast.png,Coastal/water tile language and shoreline detail density.,review_and_promote_if_art_direction_matches
Tileset_ObsidianIndustrial,assets/sprites/tilesets/tileset_obsidianindustrial_source_primary.png,assets/AssetsForMyGame/postapoc_interior_3.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_obsidianindustrial.png,Industrial props and hard-surface clutter align with quarry/industrial zones.,review_and_promote_if_art_direction_matches
Tileset_FrostCitadel,assets/sprites/tilesets/tileset_frostcitadel_source_primary.png,assets/AssetsForMyGame/Dungeon_A1 ICE CAVERN.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_frostcitadel.png,Cold-spectrum cavern/ice forms for Frostmarch routes and citadel edges.,review_and_promote_if_art_direction_matches
Tileset_ChronoPier,assets/sprites/tilesets/tileset_chronopier_source_primary.png,assets/AssetsForMyGame/SNES - Tales of Phantasia (JPN) - Tilesets - Time Travel Tileset.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_chronopier.png,Time-themed tile motifs directly match Chronowake identity.,review_and_promote_if_art_direction_matches
Tileset_CapitalRuins,assets/sprites/tilesets/tileset_capitalruins_source_primary.png,assets/AssetsForMyGame/postapoc_interior_3.png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_capitalruins.png,Ruin-compatible structural debris and industrial breakage language.,review_and_promote_if_art_direction_matches
Tileset_Tower,assets/sprites/tilesets/tileset_tower_source_primary.png,assets/AssetsForMyGame/SNES - Rudra no Hihou (JPN) - Maps - Giant's Tower (Interior).png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_tower.png,Vertical interior architecture and strong tower silhouette language.,review_and_promote_if_art_direction_matches
Tileset_Palace,assets/sprites/tilesets/tileset_palace_source_primary.png,assets/AssetsForMyGame/SNES - Final Fantasy 6 - World of Ruin Maps - Ancient Castle (Interior).png,assets/sprites/tilesets/_curation_candidates/tileset_cand_tileset_palace.png,Grand interior readability for final-palace encounter staging.,review_and_promote_if_art_direction_matches
