icon,category,source_sheet,tile_x,tile_y
icon_aetherreach_pass,consumable,icons_full_32,15,40
icon_airship_key,key_item,icons_full_32,8,35
icon_alexanders_crown,key_item,icons_full_32,14,42
icon_antidote,consumable,icons_full_32,12,18
icon_aqua_essence,material,icons_full_32,7,10
icon_archive_key,key_item,icons_full_32,5,62
icon_battle_axe,weapon,tf_swords_32,9,0
icon_blood_sac,material,icons_full_32,7,3
icon_bloodflower,material,icons_full_32,3,37
icon_bloom_dust,material,icons_full_32,3,2
icon_bloom_seed,material,icons_full_32,1,40
icon_bronze_ring,accessory,icons_full_32,15,53
icon_bully_hide,material,icons_full_32,6,55
icon_chainmail,armor,icons_full_32,7,59
icon_chocobo_whistle,material,icons_full_32,11,24
icon_chronowardens_key,key_item,icons_full_32,14,13
icon_clean_water,material,icons_full_32,1,3
icon_clockwork_gear,material,icons_full_32,6,25
icon_colossus_core,material,icons_full_32,4,63
icon_colossus_splitter,weapon,tf_swords_32,3,0
icon_cottage,consumable,icons_full_32,10,20
icon_cotton_clothes,armor,tf_shields_32,10,1
icon_crown_alloy_shard,key_item,icons_full_32,9,32
icon_crystal_dust,material,icons_full_32,8,38
icon_crystal_shard,material,icons_full_32,14,10
icon_custodian_core,material,icons_full_32,0,32
icon_dagger,weapon,icons_full_32,6,16
icon_depthcaller_pearl,material,icons_full_32,13,51
icon_drake_heart,material,icons_full_32,12,14
icon_duelist_blade,weapon,icons_full_32,7,55
icon_dust_cloak,armor,icons_full_32,0,3
icon_echo_screen,consumable,icons_full_32,12,33
icon_elemental_crown,key_item,icons_full_32,6,43
icon_elemental_ring,accessory,icons_full_32,14,34
icon_elite_insignia,key_item,icons_full_32,6,38
icon_elixir,consumable,icons_full_32,9,60
icon_ether,consumable,icons_full_32,3,29
icon_exp_earring,accessory,icons_full_32,14,33
icon_eye_drops,consumable,icons_full_32,3,43
icon_feather,material,icons_full_32,15,47
icon_fire_essence,material,icons_full_32,15,63
icon_fishing_rod,weapon,icons_full_32,4,5
icon_frozen_blade,weapon,icons_full_32,14,0
icon_fungal_cap,material,icons_full_32,2,39
icon_fungal_core,material,icons_full_32,7,50
icon_fur_pelt,material,icons_full_32,7,15
icon_gil_bracelet,accessory,icons_full_32,12,41
icon_gold_ring,accessory,icons_full_32,6,18
icon_gold_trophy,key_item,icons_full_32,0,34
icon_gravity_stone,material,tf_extras_32,2,2
icon_grits_battle_armor,armor,icons_full_32,11,52
icon_growth_foundation_blessing,key_item,icons_full_32,1,61
icon_guard_bracelet,accessory,tf_style_32,6,2
icon_halberd,weapon,icons_full_32,3,33
icon_hard_shell,material,icons_full_32,3,53
icon_healing_herb,material,icons_full_32,6,25
icon_heartroot_sapling,material,icons_full_32,6,13
icon_heat_foundation_blessing,key_item,icons_full_32,8,26
icon_hero_medal,accessory,icons_full_32,12,55
icon_hi_ether,consumable,icons_full_32,1,45
icon_hi_potion,consumable,icons_full_32,14,23
icon_holts_shadow_cloak,armor,icons_full_32,13,11
icon_ice_crystal,material,icons_full_32,8,52
icon_inferno_heart,material,icons_full_32,5,17
icon_iron_axe,weapon,icons_full_32,1,5
icon_iron_ore,material,icons_full_32,8,33
icon_iron_plate,armor,icons_full_32,15,31
icon_iron_scrap,material,icons_full_32,5,27
icon_iron_spear,weapon,icons_full_32,11,45
icon_iron_sword,weapon,icons_full_32,13,0
icon_kades_duster,armor,icons_full_32,0,26
icon_kades_gunblade,weapon,icons_full_32,8,41
icon_kaine_blade_fragment,weapon,icons_full_32,3,54
icon_kessel_armor_plate,armor,icons_full_32,0,28
icon_kite_shield,armor,icons_full_32,9,2
icon_leather_armor,armor,icons_full_32,9,8
icon_leather_scrap,material,icons_full_32,9,40
icon_leather_shield,armor,icons_full_32,7,62
icon_legendary_weapon,weapon,icons_full_32,6,36
icon_life_bracelet,accessory,icons_full_32,6,16
icon_light_foundation_blessing,key_item,icons_full_32,13,28
icon_luminous_orb,material,icons_full_32,7,56
icon_machine_part,material,icons_full_32,6,51
icon_mage_robe,material,icons_full_32,0,13
icon_mage_staff,weapon,icons_full_32,0,9
icon_magic_amulet,accessory,icons_full_32,0,34
icon_magma_core,material,icons_full_32,0,34
icon_mana_bracelet,accessory,icons_full_32,6,54
icon_mana_crystal,material,icons_full_32,6,16
icon_mass_foundation_blessing,key_item,icons_full_32,15,3
icon_mega_potion,consumable,icons_full_32,9,28
icon_megaelixir,consumable,icons_full_32,12,23
icon_mercer_blade,weapon,icons_full_32,0,22
icon_mercer_legacy,key_item,icons_full_32,10,39
icon_metal_knuckles,weapon,icons_full_32,1,59
icon_mind_belt,accessory,icons_full_32,12,5
icon_mining_helmet,material,icons_full_32,8,62
icon_mira_rest_discount,material,icons_full_32,1,56
icon_mirror_fragment,material,icons_full_32,15,11
icon_mordais_hourglass,key_item,icons_full_32,2,61
icon_motion_foundation_blessing,key_item,icons_full_32,11,38
icon_null_scribes_quill,material,icons_full_32,4,11
icon_omega_weapon,weapon,icons_full_32,5,14
icon_paradox_glass,material,icons_full_32,7,23
icon_phase_essence,material,tf_extras_32,4,1
icon_phoenix_down,consumable,icons_full_32,11,23
icon_phoenix_feather,consumable,tf_ui_32,2,2
icon_pistol,weapon,icons_full_32,11,24
icon_placeholder,material,icons_full_32,10,18
icon_potion,consumable,icons_full_32,13,9
icon_power_glove,accessory,icons_full_32,13,41
icon_prism_core,material,icons_full_32,2,3
icon_prism_staff,weapon,icons_full_32,15,44
icon_progenitor_crown,key_item,icons_full_32,6,0
icon_relic_growth,key_item,icons_full_32,14,18
icon_relic_heat,key_item,icons_full_32,11,45
icon_relic_light,key_item,icons_full_32,1,25
icon_relic_mass,key_item,icons_full_32,12,31
icon_relic_motion,key_item,icons_full_32,15,20
icon_relic_shadow,key_item,icons_full_32,6,3
icon_relic_tide,key_item,icons_full_32,13,8
icon_relic_time,key_item,icons_full_32,11,19
icon_remedy,consumable,icons_full_32,15,18
icon_rennas_rifle,weapon,icons_full_32,0,63
icon_ribbon,accessory,icons_full_32,2,0
icon_rifle,weapon,icons_full_32,7,49
icon_root_fiber,material,icons_full_32,7,47
icon_rorr_cape,material,icons_full_32,8,41
icon_rusted_gear,material,icons_full_32,1,23
icon_rusty_bolt,material,icons_full_32,11,23
icon_rusty_dagger,weapon,icons_full_32,5,13
icon_sage_ring,accessory,icons_full_32,2,18
icon_scale_armor,armor,icons_full_32,2,28
icon_scavenger_crossbow,weapon,icons_full_32,12,52
icon_seal_wax_scrap,material,icons_full_32,11,35
icon_seam_warden_blessing,key_item,icons_full_32,0,44
icon_sennas_iron_fist,material,icons_full_32,9,8
icon_sentinel_core,material,icons_full_32,6,23
icon_shadow_foundation_blessing,key_item,icons_full_32,8,21
icon_shadow_garb,armor,icons_full_32,10,22
icon_silver_ring,accessory,icons_full_32,2,20
icon_slimy_hide,material,icons_full_32,3,42
icon_sovas_lab_coat,material,icons_full_32,4,18
icon_speed_boots,accessory,icons_full_32,1,8
icon_spore_pod,material,icons_full_32,0,3
icon_sporocyte_nucleus,material,icons_full_32,15,23
icon_sprint_shoes,material,icons_full_32,8,7
icon_steel_ingot,material,icons_full_32,6,4
icon_steel_plate,armor,icons_full_32,4,5
icon_steel_sword,weapon,icons_full_32,10,7
icon_stone_chunk,material,icons_full_32,0,14
icon_studded_leather,material,icons_full_32,0,61
icon_tent,consumable,icons_full_32,3,38
icon_thorne_insignia,key_item,icons_full_32,8,58
icon_tide_foundation_blessing,key_item,icons_full_32,2,61
icon_time_foundation_blessing,key_item,icons_full_32,9,12
icon_time_shard,material,icons_full_32,12,60
icon_tooth,material,icons_full_32,5,25
icon_tower_clearance,key_item,icons_full_32,14,14
icon_tower_key,key_item,icons_full_32,5,53
icon_tower_key_f95,key_item,icons_full_32,10,30
icon_toxic_vine,material,icons_full_32,10,45
icon_true_ending_key,key_item,icons_full_32,14,3
icon_true_progenitor_weapon,weapon,icons_full_32,3,19
icon_twists_shadowblades,weapon,icons_full_32,6,14
icon_vane_tactics_manual,material,icons_full_32,3,58
icon_vexs_shield,armor,icons_full_32,2,32
icon_void_architect_plans,key_item,icons_full_32,1,3
icon_void_crystal,material,icons_full_32,14,50
icon_void_empress_signet,key_item,icons_full_32,9,55
icon_void_essence,material,icons_full_32,2,62
icon_voidhound_fang,material,icons_full_32,2,7
icon_volcanic_stone,material,icons_full_32,2,19
icon_wall_ring,accessory,icons_full_32,3,23
icon_warden_prime_insignia,key_item,icons_full_32,4,60
icon_wasp_stinger,material,icons_full_32,0,54
icon_watcher_eye,material,icons_full_32,7,20
icon_wind_essence,material,icons_full_32,5,55
icon_wind_rod,weapon,icons_full_32,13,35
icon_wing_membrane,material,icons_full_32,3,3
icon_wisp_dust,material,icons_full_32,8,3
icon_wizard_gown,armor,icons_full_32,8,14
icon_wooden_staff,weapon,icons_full_32,12,10
icon_world_map,key_item,icons_full_32,8,16
